Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61242426,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,"Baldree, Travis",,"=""""","=""""",0,4.13,Tor,Kindle Edition,296,2022,2022,,2024/03/02,to-read,to-read (#178),to-read,,,,0,0
39991163,"The Vanishing Stair (Truly Devious, #2)",Maureen Johnson,"Johnson, Maureen",,"=""""","=""""",4,4.14,Katherine Tegen Books,Kindle Edition,376,2019,2019,2024/02/16,2023/11/21,,,read,,,,1,0
55424891,"Dark Rise (Dark Rise, #1)",C.S. Pacat,"Pacat, C.S.",,"=""0062946161""","=""9780062946164""",0,4.16,Quill Tree Books,ebook,464,2021,2021,,2024/02/10,to-read,to-read (#177),to-read,,,,0,0
2748,Microserfs,Douglas Coupland,"Coupland, Douglas",,"=""0060987049""","=""9780060987046""",0,3.89,Harper Perennial,Paperback,371,1995,1995,,2024/02/10,,,read,,,,1,0
123416781,Brute Force,Scott  Meyer,"Meyer, Scott",,"=""1950056082""","=""9781950056088""",3,4.03,Rocket Hat Industries,Kindle Edition,352,2023,,2024/02/09,2024/02/06,,,read,,,,1,0
52824295,The Making of Prince of Persia: Journals 1985-1993,Jordan Mechner,"Mechner, Jordan",,"=""0578627310""","=""9780578627311""",0,4.09,Stripe Press,Hardcover,336,2020,2011,,2020/12/29,to-read,to-read (#79),to-read,,,,0,0
58643894,"Quantum of Nightmares (Laundry Files #11; The New Management, #2)",Charles Stross,"Stross, Charles",,"=""""","=""""",3,4.12,Tordotcom ,Kindle Edition,361,2022,2022,2024/02/02,2023/03/21,,,read,,,,1,0
26250778,"Snuff (Discworld, #39; City Watch #8)",Terry Pratchett,"Pratchett, Terry",Stephen Briggs,"=""""","=""""",5,4.18,HarperAudio,Audible Audio,,2011,2011,2024/01/30,2024/01/11,,,read,,,,1,0
40004706,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""""","=""""",5,4.47,Broadway Books,Kindle Edition,434,2016,2016,2024/01/21,2024/01/12,,,read,,,,1,0
34511,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",0,4.23,,Paperback,496,2003,2003,,2024/01/17,to-read,to-read (#176),to-read,,,,0,0
162876287,Beneath Caaqi’s Wings,Rich Shapero,"Shapero, Rich",,"=""""","=""9781733525985""",3,3.31,TooFar Media,Hardcover,200,2023,,2024/01/13,2024/01/09,,,read,,,,1,0
65213928,The Lost Cause,Cory Doctorow,"Doctorow, Cory",,"=""125086593X""","=""9781250865939""",3,3.66,Tor Books,Hardcover,368,2023,2023,2024/01/11,2023/12/15,,,read,,,,1,0
